order_date,member_grade_label,category,repeat_orders,repeat_buyers,quantity,revenue,repeat_rate
2024-06-15,SILVER,라운드티,2,2,4,168050,1.0
2024-06-15,SILVER,셋업,1,1,1,81600,1.0
2024-06-16,FAMILY,남성,7,7,9,495400,1.0
2024-06-16,FAMILY,라운드티,7,7,10,387820,1.0
2024-06-16,FAMILY,긴바지,3,3,4,356350,1.0
2024-06-16,FAMILY,여성,3,3,3,183500,1.0
2024-06-16,FAMILY,자켓/ 베스트,1,1,1,132090,1.0
2024-06-16,FAMILY,반바지,2,2,3,99100,1.0
2024-06-16,FAMILY,등산화,1,1,1,79500,1.0
2024-06-16,FAMILY,UNKNOWN,1,1,1,79500,1.0
2024-06-16,FAMILY,셋업,1,1,1,74810,1.0
2024-06-16,FAMILY,가방,1,1,1,45160,1.0
2024-06-16,SILVER,여성,1,1,1,119200,1.0
2024-06-16,SILVER,라운드티,1,1,1,47200,1.0
2024-06-17,FAMILY,라운드티,10,10,17,669720,1.0
2024-06-17,FAMILY,남성,10,10,14,661870,1.0
2024-06-17,FAMILY,셋업,4,4,4,392650,1.0
2024-06-17,FAMILY,긴바지,3,3,4,270040,1.0
2024-06-17,FAMILY,반바지,3,3,4,140500,1.0
2024-06-17,FAMILY,여성,3,3,3,134580,1.0
2024-06-17,FAMILY,등산화,1,1,1,94500,1.0
2024-06-17,FAMILY,바람막이,1,1,1,79270,1.0
2024-06-17,FAMILY,하이킹,1,1,1,69500,1.0
2024-06-17,FAMILY,가방,1,1,1,31150,1.0
2024-06-17,SILVER,남성,1,1,1,74010,1.0
2024-06-18,FAMILY,라운드티,6,6,13,469500,1.0
2024-06-18,FAMILY,남성,3,3,4,299280,1.0
2024-06-18,FAMILY,셋업,2,2,2,115950,1.0
2024-06-18,FAMILY,UNKNOWN,1,1,1,69000,1.0
2024-06-18,FAMILY,긴바지,1,1,1,44390,1.0
2024-06-18,FAMILY,반바지,1,1,1,39500,1.0
2024-06-18,GOLD,남성,1,1,2,212490,1.0
2024-06-18,GOLD,긴바지,1,1,1,124090,1.0
2024-06-18,GOLD,라운드티,1,1,2,91420,1.0
2024-06-18,SILVER,라운드티,1,1,2,81260,1.0
2024-06-18,SILVER,셋업,1,1,1,53620,1.0
2024-06-18,SILVER,남성,1,1,1,48580,1.0
2024-06-18,SILVER,반바지,1,1,1,33740,1.0
2024-06-19,FAMILY,남성,7,6,10,482970,0.8571428571428571
2024-06-19,FAMILY,라운드티,7,7,9,316600,1.0
2024-06-19,FAMILY,UNKNOWN,1,1,1,71200,1.0
2024-06-19,FAMILY,긴바지,1,1,1,67550,1.0
2024-06-19,FAMILY,셋업,1,1,1,55300,1.0
2024-06-19,FAMILY,가방,1,1,1,47690,1.0
2024-06-19,FAMILY,반바지,1,1,1,38550,1.0
2024-06-19,SILVER,남성,2,2,4,286980,1.0
2024-06-19,SILVER,UNKNOWN,1,1,1,62100,1.0
2024-06-19,SILVER,셋업,1,1,1,59360,1.0
2024-06-19,SILVER,라운드티,1,1,1,39420,1.0
